Date,Time,Temperature (°C),Humidity (%),Pressure (hPa),Light Intensity (Lux),CO2 (ppm),PM1.0 (µg/m³),PM2.5 (µg/m³),PM10.0 (µg/m³),Uptime,Sensors Online
14/3/2026,11:08:31 am,37.57,37.32,1013.46,15.21,796,50,72,79,N/A,N/A
14/3/2026,11:08:41 am,37.56,37.32,1013.51,18.43,782,48,70,78,N/A,N/A
14/3/2026,11:08:51 am,37.46,37.43,1013.41,17.97,788,47,69,77,N/A,N/A
14/3/2026,11:09:01 am,37.44,37.34,1013.48,17.97,786,48,72,80,N/A,N/A
14/3/2026,11:09:11 am,37.46,37.43,1013.44,17.97,800,48,71,79,N/A,N/A
14/3/2026,11:09:21 am,37.57,37.32,1013.44,17.97,784,49,72,80,N/A,N/A
14/3/2026,11:09:31 am,37.57,37.23,1013.44,17.97,776,48,71,79,N/A,N/A
14/3/2026,11:09:42 am,37.62,37.32,1013.45,18.43,783,50,72,80,N/A,N/A
14/3/2026,11:09:52 am,37.49,37.24,1013.45,17.97,793,48,70,77,N/A,N/A
14/3/2026,11:10:02 am,37.55,37.32,1013.43,17.97,781,49,71,78,N/A,N/A
14/3/2026,11:10:12 am,37.56,37.32,1013.46,18.89,784,49,70,79,N/A,N/A
14/3/2026,11:10:23 am,37.44,37.24,1013.39,19.35,782,50,71,80,N/A,N/A
14/3/2026,11:10:33 am,37.41,37.34,1013.46,19.35,781,50,72,81,N/A,N/A
14/3/2026,11:10:43 am,37.32,37.34,1013.41,19.81,782,49,72,81,N/A,N/A
14/3/2026,11:10:53 am,37.29,37.43,1013.42,18.89,789,48,71,79,N/A,N/A
14/3/2026,11:11:03 am,37.29,37.43,1013.41,18.89,792,47,71,78,N/A,N/A
14/3/2026,11:11:13 am,37.39,37.53,1013.38,18.43,793,49,72,79,N/A,N/A
14/3/2026,11:11:24 am,37.4,37.63,1013.4,16.13,780,49,74,81,N/A,N/A
14/3/2026,11:11:34 am,37.4,37.24,1013.4,16.13,787,49,74,81,N/A,N/A
14/3/2026,11:11:44 am,37.44,37.34,1013.41,15.67,784,47,69,77,N/A,N/A
14/3/2026,11:11:54 am,37.5,37.05,1013.39,15.21,789,47,69,78,N/A,N/A
14/3/2026,11:12:04 am,37.5,36.95,1013.39,15.21,788,48,70,79,N/A,N/A
14/3/2026,11:12:14 am,37.41,36.95,1013.42,16.13,784,49,71,79,N/A,N/A
14/3/2026,11:12:25 am,37.39,37.15,1013.39,15.67,777,48,71,79,N/A,N/A
14/3/2026,11:12:35 am,37.28,37.24,1013.38,15.21,773,47,71,79,N/A,N/A
14/3/2026,11:12:45 am,37.25,37.45,1013.34,15.21,763,48,73,80,N/A,N/A
14/3/2026,11:12:55 am,37.2,37.45,1013.38,15.67,767,46,70,78,N/A,N/A
14/3/2026,11:13:05 am,37.21,37.45,1013.34,15.21,786,46,69,77,N/A,N/A
14/3/2026,11:13:16 am,37.27,37.45,1013.4,15.67,773,46,69,76,N/A,N/A
14/3/2026,11:13:26 am,37.29,37.34,1013.36,15.21,767,48,71,78,N/A,N/A
14/3/2026,11:13:36 am,37.28,37.34,1013.33,14.75,766,48,72,79,N/A,N/A
14/3/2026,11:13:46 am,37.29,37.34,1013.29,14.28,769,46,71,77,N/A,N/A
14/3/2026,11:13:56 am,37.27,37.26,1013.33,14.28,769,45,69,77,N/A,N/A
14/3/2026,11:14:06 am,37.24,37.26,1013.35,15.67,770,46,71,79,N/A,N/A
14/3/2026,11:14:17 am,37.25,37.26,1013.3,15.21,769,46,71,79,N/A,N/A
14/3/2026,11:14:27 am,37.24,37.16,1013.32,15.21,768,44,69,78,N/A,N/A
14/3/2026,11:14:37 am,37.22,37.16,1013.31,7.37,771,46,70,79,N/A,N/A
14/3/2026,11:14:47 am,37.36,37.15,1013.3,109.67,767,48,70,78,N/A,N/A
14/3/2026,11:14:57 am,37.41,36.85,1013.27,111.51,758,47,68,76,N/A,N/A
14/3/2026,11:15:07 am,37.46,36.66,1013.29,114.28,758,47,68,78,N/A,N/A
14/3/2026,11:15:17 am,37.47,36.56,1013.25,111.51,766,47,66,77,N/A,N/A
14/3/2026,11:15:28 am,37.49,36.46,1013.25,115.2,754,47,68,77,N/A,N/A
14/3/2026,11:15:38 am,37.51,36.27,1013.25,114.74,757,46,69,76,N/A,N/A
14/3/2026,11:15:48 am,37.51,36.27,1013.21,114.74,760,43,65,75,N/A,N/A
14/3/2026,11:15:58 am,37.57,36.16,1013.25,115.2,760,44,65,76,N/A,N/A
14/3/2026,11:16:09 am,37.59,36.06,1013.25,115.2,755,46,68,77,N/A,N/A
14/3/2026,11:16:19 am,37.6,35.96,1013.23,116.12,752,46,69,76,N/A,N/A
