Date,Time,Temperature (°C),Humidity (%),Pressure (hPa),Light Intensity (Lux),CO2 (ppm),PM1.0 (µg/m³),PM2.5 (µg/m³),PM10.0 (µg/m³),Uptime,Sensors Online
14/3/2026,11:08:31 am,37.57,37.32,1013.46,15.21,796.0,50.0,72.0,79.0,,
14/3/2026,11:08:41 am,37.56,37.32,1013.51,18.43,782.0,48.0,70.0,78.0,,
14/3/2026,11:08:51 am,37.46,37.43,1013.41,17.97,788.0,47.0,69.0,77.0,,
14/3/2026,11:09:01 am,37.44,37.34,1013.48,17.97,786.0,48.0,72.0,80.0,,
14/3/2026,11:09:11 am,37.46,37.43,1013.44,17.97,800.0,48.0,71.0,79.0,,
14/3/2026,11:09:21 am,37.57,37.32,1013.44,17.97,784.0,49.0,72.0,80.0,,
14/3/2026,11:09:31 am,37.57,37.23,1013.44,17.97,776.0,48.0,71.0,79.0,,
14/3/2026,11:09:42 am,37.62,37.32,1013.45,18.43,783.0,50.0,72.0,80.0,,
14/3/2026,11:09:52 am,37.49,37.24,1013.45,17.97,793.0,48.0,70.0,77.0,,
14/3/2026,11:10:02 am,37.55,37.32,1013.43,17.97,781.0,49.0,71.0,78.0,,
14/3/2026,11:10:12 am,37.56,37.32,1013.46,18.89,784.0,49.0,70.0,79.0,,
14/3/2026,11:10:23 am,37.44,37.24,1013.39,19.35,782.0,50.0,71.0,80.0,,
14/3/2026,11:10:33 am,37.41,37.34,1013.46,19.35,781.0,50.0,72.0,81.0,,
14/3/2026,11:10:43 am,37.32,37.34,1013.41,19.81,782.0,49.0,72.0,81.0,,
14/3/2026,11:10:53 am,37.29,37.43,1013.42,18.89,789.0,48.0,71.0,79.0,,
14/3/2026,11:11:03 am,37.29,37.43,1013.41,18.89,792.0,47.0,71.0,78.0,,
14/3/2026,11:11:13 am,37.39,37.53,1013.38,18.43,793.0,49.0,72.0,79.0,,
14/3/2026,11:11:24 am,37.4,37.63,1013.4,16.13,780.0,49.0,74.0,81.0,,
14/3/2026,11:11:34 am,37.4,37.24,1013.4,16.13,787.0,49.0,74.0,81.0,,
14/3/2026,11:11:44 am,37.44,37.34,1013.41,15.67,784.0,47.0,69.0,77.0,,
14/3/2026,11:11:54 am,37.5,37.05,1013.39,15.21,789.0,47.0,69.0,78.0,,
14/3/2026,11:12:04 am,37.5,36.95,1013.39,15.21,788.0,48.0,70.0,79.0,,
14/3/2026,11:12:14 am,37.41,36.95,1013.42,16.13,784.0,49.0,71.0,79.0,,
14/3/2026,11:12:25 am,37.39,37.15,1013.39,15.67,777.0,48.0,71.0,79.0,,
14/3/2026,11:12:35 am,37.28,37.24,1013.38,15.21,773.0,47.0,71.0,79.0,,
14/3/2026,11:12:45 am,37.25,37.45,1013.34,15.21,763.0,48.0,73.0,80.0,,
14/3/2026,11:12:55 am,37.2,37.45,1013.38,15.67,767.0,46.0,70.0,78.0,,
14/3/2026,11:13:05 am,37.21,37.45,1013.34,15.21,786.0,46.0,69.0,77.0,,
14/3/2026,11:13:16 am,37.27,37.45,1013.4,15.67,773.0,46.0,69.0,76.0,,
14/3/2026,11:13:26 am,37.29,37.34,1013.36,15.21,767.0,48.0,71.0,78.0,,
14/3/2026,11:13:36 am,37.28,37.34,1013.33,14.75,766.0,48.0,72.0,79.0,,
14/3/2026,11:13:46 am,37.29,37.34,1013.29,14.28,769.0,46.0,71.0,77.0,,
14/3/2026,11:13:56 am,37.27,37.26,1013.33,14.28,769.0,45.0,69.0,77.0,,
14/3/2026,11:14:06 am,37.24,37.26,1013.35,15.67,770.0,46.0,71.0,79.0,,
14/3/2026,11:14:17 am,37.25,37.26,1013.3,15.21,769.0,46.0,71.0,79.0,,
14/3/2026,11:14:27 am,37.24,37.16,1013.32,15.21,768.0,44.0,69.0,78.0,,
14/3/2026,11:14:37 am,37.22,37.16,1013.31,7.37,771.0,46.0,70.0,79.0,,
14/3/2026,11:14:47 am,37.36,37.15,1013.3,109.67,767.0,48.0,70.0,78.0,,
14/3/2026,11:14:57 am,37.41,36.85,1013.27,111.51,758.0,47.0,68.0,76.0,,
14/3/2026,11:15:07 am,37.46,36.66,1013.29,114.28,758.0,47.0,68.0,78.0,,
14/3/2026,11:15:17 am,37.47,36.56,1013.25,111.51,766.0,47.0,66.0,77.0,,
14/3/2026,11:15:28 am,37.49,36.46,1013.25,115.2,754.0,47.0,68.0,77.0,,
14/3/2026,11:15:38 am,37.51,36.27,1013.25,114.74,757.0,46.0,69.0,76.0,,
14/3/2026,11:15:48 am,37.51,36.27,1013.21,114.74,760.0,43.0,65.0,75.0,,
14/3/2026,11:15:58 am,37.57,36.16,1013.25,115.2,760.0,44.0,65.0,76.0,,
14/3/2026,11:16:09 am,37.59,36.06,1013.25,115.2,755.0,46.0,68.0,77.0,,
14/3/2026,11:16:19 am,37.6,35.96,1013.23,116.12,752.0,46.0,69.0,76.0,,
14/3/2026,11:16:29 am,37.57,35.96,1013.23,116.12,762.0,47.0,70.0,79.0,,
14/3/2026,11:16:39 am,37.56,35.96,1013.23,115.66,747.0,46.0,70.0,78.0,,
14/3/2026,11:16:50 am,37.57,35.96,1013.24,117.04,744.0,46.0,69.0,78.0,,
14/3/2026,11:17:00 am,37.55,35.96,1013.21,115.66,744.0,47.0,70.0,79.0,,
14/3/2026,11:17:10 am,37.5,35.98,1013.21,117.04,746.0,46.0,68.0,78.0,,
14/3/2026,11:17:20 am,37.51,35.98,1013.18,117.04,740.0,48.0,67.0,77.0,,
14/3/2026,11:17:31 am,37.47,36.08,1013.17,117.04,735.0,47.0,68.0,79.0,,
14/3/2026,11:17:41 am,37.49,36.18,1013.2,116.58,743.0,46.0,67.0,77.0,,
14/3/2026,11:17:51 am,37.47,36.27,1013.21,115.2,750.0,46.0,67.0,76.0,,
14/3/2026,11:18:01 am,37.49,36.27,1013.2,117.04,757.0,46.0,66.0,75.0,,
14/3/2026,11:18:11 am,37.46,36.27,1013.21,115.2,753.0,46.0,67.0,76.0,,
14/3/2026,11:18:21 am,37.46,36.27,1013.22,117.5,762.0,45.0,66.0,76.0,,
14/3/2026,11:18:31 am,37.49,36.27,1013.19,116.58,765.0,46.0,66.0,77.0,,
14/3/2026,11:18:42 am,37.37,36.36,1013.24,116.12,762.0,46.0,66.0,75.0,,
14/3/2026,11:18:52 am,37.4,36.36,1013.17,116.58,751.0,45.0,65.0,74.0,,
14/3/2026,11:19:02 am,37.34,36.36,1013.17,115.2,749.0,45.0,65.0,74.0,,
14/3/2026,11:19:13 am,37.39,36.46,1013.21,115.66,749.0,45.0,66.0,75.0,,
14/3/2026,11:19:23 am,37.39,36.36,1013.18,121.19,761.0,46.0,69.0,77.0,,
14/3/2026,11:19:34 am,37.39,36.36,1013.18,121.19,759.0,45.0,68.0,76.0,,
14/3/2026,11:19:43 am,37.41,36.36,1013.2,123.03,768.0,45.0,69.0,77.0,,
14/3/2026,11:19:54 am,37.4,36.36,1013.14,121.65,764.0,46.0,68.0,78.0,,
14/3/2026,11:20:04 am,37.43,36.36,1013.19,121.65,759.0,46.0,68.0,78.0,,
14/3/2026,11:20:14 am,37.46,36.27,1013.22,123.03,770.0,45.0,65.0,76.0,,
14/3/2026,11:20:24 am,37.47,36.27,1013.16,121.19,759.0,45.0,66.0,76.0,,
14/3/2026,11:20:34 am,37.46,36.27,1013.22,122.11,762.0,45.0,66.0,76.0,,
14/3/2026,11:20:44 am,37.44,36.27,1013.2,120.73,764.0,45.0,66.0,77.0,,
14/3/2026,11:20:54 am,37.41,36.27,1013.19,122.57,756.0,48.0,70.0,79.0,,
14/3/2026,11:21:05 am,37.37,36.27,1013.2,122.57,759.0,47.0,70.0,79.0,,
14/3/2026,11:21:15 am,37.41,36.27,1013.17,122.11,745.0,45.0,68.0,78.0,,
14/3/2026,11:21:26 am,37.36,36.27,1013.18,121.65,756.0,45.0,68.0,78.0,,
